기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부,비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업시간
A1100008,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",A,종합병원,G001,권역응급의료센터,1,점심시간 13:00~14:00,하지정맥류 전문 병원입니다.,지하철 6호선 안암역 하차 후 1번출구 도보 500m,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1577-0083,02-920-5374,1730,1730,1730,1730,1730,1400,2200,1300,830,830,830,830,830,930,1000,900,28,41,127.0264709,37.58715608,56:17.0
A1100012,서울특별시 서초구 반포대로 222 (반포동),A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,하지정맥류 전문 병원입니다.,고속터미널역 3번 출구,학교법인가톨릭학원가톨릭대학교서울성모병원,215881511,02-2258-2002,1700,1700,1700,1700,1700,1200,2200,1300,800,800,800,800,800,800,1000,900,65,91,127.0047273,37.5018008,56:17.0
A1100163,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,응급실 야간진료시간 평일 야간 19:00~22:00/ 토요일 야간 14:00~22:00/ 일요일 & 공휴일 09:00~22:00 위 진료시간 변동될 수 있으므로 내원시 1800-7119로 연락주시기 바랍니다.,"주간/ 야간/ 휴일에 성형외과 전문의가 항시 상주합니다.  응급실 주간/야간/휴일 진료분야는 화상(30~40% 이하 및 넓은 범위는 별도협의), 외상, 안면부 골절, 타박상 및 염좌(교통사고/ 산재사고 등) 입니다.",양남사거리 인근,한강수병원,02-1800-7119,02-2063-8413,1800,1800,1800,1800,1800,1300,1330,1900,900,900,900,900,900,900,930,1000,72,62,126.8909137,37.52240478,56:17.0
A1100053,서울특별시 강동구 진황도로61길 53 (둔촌동),A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,한국공항공사 서울지역본부 구조소방센터 입니다.,9호선 중앙보훈병원역 2번 출구,한국보훈복지의료공단 중앙보훈병원,02-2225-1111,02-2225-1100,1730,1730,1730,1730,1730,1300,1330,1300,900,900,900,900,900,800,930,900,53,68,127.1467189,37.5282209,56:17.0
A1100027,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",A,종합병원,G007,지역응급의료기관,1,점심시간 13:00~14:00,영상의학과,공릉역 2번 출구 도보 10분,한국원자력의학원원자력병원,02-970-2114,02-970-2620,1630,1630,1630,1630,1630,1300,1330,1300,830,830,830,830,830,900,930,900,18,12,127.0826932,37.62881598,56:17.0
A1100055,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,점심 12:30~13:30,대림삼거리 인근,한림대학교강남성심병원,02-829-5114,02-829-5119,1630,1630,1630,1630,1630,1200,1500,1500,830,830,830,830,830,830,1000,1000,74,41,126.9086725,37.49324929,56:17.0
A1100038,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",A,종합병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,진료과에따라 상이함(연락 후 내원 바람),점심 12:30~13:30,서울특별시 영등포구 버드나루로7길 12 (영등포동 7가 94-200),한림대학교한강성심병원,02-2639-5114,02-2639-5555,1630,1630,1630,1630,1630,1200,1500,1500,900,900,900,900,900,830,1000,1000,72,47,126.91033,37.52346675,56:17.0
A1100013,서울특별시 성동구 왕십리로 222-1 (사근동),A,종합병원,G001,권역응급의료센터,1,점심시간: 13시~14시,관절염/류마티스 전문/,"한양대역 1번 출구 왕십리역:6번,13번 출구->650M(도보10분) 왕십리역:6-1번 출구->셔틀버스2,3,4호차 이용",한양대학교병원,02-2290-8114,02-2290-8284,1730,1730,1730,1730,1730,1230,1400,1300,900,900,900,900,900,900,900,900,47,63,127.0448828,37.55994453,56:17.0
A1100051,서울특별시 광진구 자양로 85 (자양동),A,종합병원,G007,지역응급의료기관,1,점심시간 이후 진료시작 14:15부터,24시간 전문의 진료가 가능한 서울 동북부 지역 거점병원입니다.,2호선 구의역 4번출구 직진방향 5분 거리,혜민병원,02-2049-9000,02-2049-9119,1730,1730,1730,1730,1730,1220,1300,1300,830,830,830,830,830,830,900,900,50,56,127.0836013,37.53531566,56:18.0
A1100019,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",A,종합병원,G007,지역응급의료기관,1,평일 30분전 접수마감 토요일 13시 접수마감,후두내시경O/수액처치O,목동역 2번 출구,홍익병원,02-2693-5555,02-2600-0777,1800,1700,1700,1700,1700,1300,1400,1400,900,900,900,900,900,900,900,900,79,37,126.863664,37.52844147,56:18.0
A1100049,서울특별시 금천구 시흥대로 244 (시흥동),A,종합병원,G007,지역응급의료기관,1,점심시간 12:00-13:00,이비인후과는 토요일 휴진,금천구청역 1번 출구,희명병원,02-804-0002,02-809-0122,1730,1730,1730,1730,1730,1230,1700,1400,830,830,830,830,830,830,1000,1000,86,26,126.9005625,37.45567063,56:18.0
